ngram,freq,High,Low,Medium,None,max.value,max.prop
를/JKO;내/VV,1,0,0,1,0,Medium,1
를/JKO;내걸/VV,1,0,0,1,0,Medium,1
를/JKO;넘기/VV,1,0,0,1,0,Medium,1
를/JKO;넘어서/VV,2,0.5,0.5,0,0,High,0.5
를/JKO;높이/VV,1,0,0,1,0,Medium,1
를/JKO;누리/VV,1,1,0,0,0,High,1
를/JKO;다/MAG,1,0,0,1,0,Medium,1
를/JKO;단절/NNG,1,0,1,0,0,Low,1
를/JKO;달구/VV,1,0,0,1,0,Medium,1
를/JKO;달리/VV,1,0,0,1,0,Medium,1
를/JKO;담/VV,1,0,1,0,0,Low,1
를/JKO;당국/NNG,1,0,0,1,0,Medium,1
를/JKO;더/MAG,3,0,0.333333333,0.666666667,0,Medium,0.666666667
를/JKO;더욱/MAG,1,0,0,1,0,Medium,1
를/JKO;더하/VV,1,0,0,1,0,Medium,1
를/JKO;던지/VV,1,0,0,1,0,Medium,1
를/JKO;도와주/VV,1,0,0,1,0,Medium,1
를/JKO;되찾/VV,1,0,1,0,0,Low,1
를/JKO;드러내/VV,1,0,1,0,0,Low,1
를/JKO;들/VV,3,0,0,1,0,Medium,1
를/JKO;들썩거리/VV,1,0,0,1,0,Medium,1
를/JKO;듬뿍/MAG,1,1,0,0,0,High,1
를/JKO;떠나/VV,1,0,0,1,0,Medium,1
를/JKO;뚫/VV,1,0,0,1,0,Medium,1
를/JKO;만들/VV,2,0,0,1,0,Medium,1
를/JKO;만지/VV,1,0,0,1,0,Medium,1
를/JKO;맛보/VV,2,0.5,0,0.5,0,High,0.5
를/JKO;맞/VV,2,0.5,0,0.5,0,High,0.5
를/JKO;맞추/VV,1,0,0,1,0,Medium,1
를/JKO;매기/VV,1,0,0,1,0,Medium,1
를/JKO;매끄럽/VA,1,0,0,1,0,Medium,1
를/JKO;맴돌/VV,1,0,0,1,0,Medium,1
를/JKO;모으/VV,2,0.5,0,0.5,0,High,0.5
를/JKO;못/MAG,1,0,0,1,0,Medium,1
를/JKO;무덤/NNG,1,0,0,1,0,Medium,1
를/JKO;물/VV,1,0,0,1,0,Medium,1
를/JKO;밀어내/VV,1,0,0,1,0,Medium,1
를/JKO;바라/VV,2,0,0.5,0.5,0,Low,0.5
를/JKO;받/VV,3,0.666666667,0,0.333333333,0,High,0.666666667
를/JKO;밝히/VV,2,0,0,1,0,Medium,1
를/JKO;방불/XR,1,1,0,0,0,High,1
를/JKO;범하/VV,1,1,0,0,0,High,1
를/JKO;베풀/VV,1,0,0,1,0,Medium,1
를/JKO;보/VV,3,0,0.333333333,0.666666667,0,Medium,0.666666667
를/JKO;본격/NNG,1,0,1,0,0,Low,1
를/JKO;부르/VV,1,0,1,0,0,Low,1
를/JKO;비추/VV,1,0,0,1,0,Medium,1
를/JKO;뿜어내/VV,1,0,0,1,0,Medium,1
를/JKO;살리/VV,2,0,0,1,0,Medium,1
를/JKO;상징/NNG,1,0,0,1,0,Medium,1
를/JKO;서/VV,1,0,0,1,0,Medium,1
를/JKO;세/NNB,1,0,0,1,0,Medium,1
를/JKO;쌓/VV,1,0,0,1,0,Medium,1
를/JKO;쓰/VV,2,0,0.5,0.5,0,Low,0.5
를/JKO;아예/MAG,1,1,0,0,0,High,1
를/JKO;안/VV,1,0,0,1,0,Medium,1
를/JKO;알/VV,1,1,0,0,0,High,1
를/JKO;양/MM,1,1,0,0,0,High,1
를/JKO;얻/VV,5,0.2,0.2,0.6,0,Medium,0.6
를/JKO;연발/NNG,1,0,0,1,0,Medium,1
를/JKO;엿보/VV,1,0,0,1,0,Medium,1
를/JKO;옹호/NNG,1,0,0,1,0,Medium,1
를/JKO;완비/NNG,1,0,0,1,0,Medium,1
를/JKO;위하/VV,1,0,0,1,0,Medium,1
를/JKO;유지/NNG,1,0,1,0,0,Low,1
를/JKO;이끌/VV,1,0,1,0,0,Low,1
를/JKO;이루/VV,3,0,0,1,0,Medium,1
를/JKO;이해/NNG,1,0,0,1,0,Medium,1
를/JKO;인식/NNG,1,0,0,1,0,Medium,1
를/JKO;일으키/VV,1,1,0,0,0,High,1
를/JKO;읽/VV,2,0,1,0,0,Low,1
를/JKO;자아내/VV,1,0,0,1,0,Medium,1
를/JKO;잡/VV,3,0,0,1,0,Medium,1
를/JKO;잡아가/VV,1,0,0,1,0,Medium,1
를/JKO;재연/NNG,1,0,0,1,0,Medium,1
를/JKO;재현/NNG,1,0,0,1,0,Medium,1
를/JKO;절레절레/MAG,1,0,0,1,0,Medium,1
를/JKO;제공/NNG,1,0,0,1,0,Medium,1
를/JKO;제기/NNG,1,0,0,1,0,Medium,1
를/JKO;제치/VV,1,0,0,1,0,Medium,1
를/JKO;주/VV,2,0,0,1,0,Medium,1
를/JKO;즐기/VV,1,0,0,1,0,Medium,1
를/JKO;짧/VA,1,0,1,0,0,Low,1
를/JKO;찢/VV,1,1,0,0,0,High,1
를/JKO;차지/NNG,1,0,0,1,0,Medium,1
를/JKO;찾/VV,1,0,0,1,0,Medium,1
를/JKO;청/NNG,1,0,0,1,0,Medium,1
를/JKO;촉망/NNG,1,0,0,1,0,Medium,1
를/JKO;탕감/NNG,1,0,0,1,0,Medium,1
를/JKO;토하/VV,1,1,0,0,0,High,1
를/JKO;판매/NNG,1,0,0,1,0,Medium,1
를/JKO;팔/VV,1,0,0,1,0,Medium,1
를/JKO;풀/VV,2,0,0,1,0,Medium,1
를/JKO;피하/VV,1,0,0,1,0,Medium,1
를/JKO;하/VV,7,0.285714286,0,0.714285714,0,Medium,0.714285714
를/JKO;한층/MAG,1,0,0,1,0,Medium,1
리/NNB;가/JKS,1,0,0,1,0,Medium,1
리/NNB;는/JX,1,0,0,0,1,None,1
리듬/NNG;있/VV,1,0,0,1,0,Medium,1
리란/ETM;생각/NNG,1,1,0,0,0,High,1
ㅁ/ETN;과/JC,1,0,1,0,0,Low,1
ㅁ/ETN;발생/NNG,1,0,0,1,0,Medium,1
ㅁ/ETN;에/JKB,2,0,0,0.5,0.5,Medium,0.5
ㅁ/ETN;은/JX,1,0,0,1,0,Medium,1
ㅁ/ETN;을/JKO,3,0.333333333,0,0.666666667,0,Medium,0.666666667
ㅁ/ETN;의/JKG,1,0,0,1,0,Medium,1
ㅁ/ETN;이/JKS,2,0,0.5,0.5,0,Low,0.5
ㅁ/ETN;이/VCP,2,0,0,1,0,Medium,1
마감/NNG;에/JKB,1,0,0,1,0,Medium,1
마냥/MAG;허구/NNG,1,0,0,1,0,Medium,1
마다/JX;돌아앉/VV,1,0,0,1,0,Medium,1
마다/JX;에/JKB,1,0,0,1,0,Medium,1
마당/NNG;에/JKB,1,0,0,1,0,Medium,1
마땅/XR;하/XSA,2,1,0,0,0,High,1
마련/NNB;이/VCP,6,0,0.333333333,0.333333333,0.333333333,Low,0.333333333
마리산/NNP;의/JKG,1,1,0,0,0,High,1
마비/NNG;되/XSV,1,0,0,1,0,Medium,1
마시/VV;고/EC,1,0,0,1,0,Medium,1
마약/NNG;중독/NNG,1,1,0,0,0,High,1
마음/NNG;대로/JX,2,0,1,0,0,Low,1
마음/NNG;에/JKB,2,0,0,1,0,Medium,1
마음/NNG;을/JKO,5,0.2,0,0.8,0,Medium,0.8
마음/NNG;의/JKG,2,0,0,1,0,Medium,1
마음/NNG;이/JKS,2,0,0,1,0,Medium,1
마음껏/MAG;울/VV,1,0,0,1,0,Medium,1
마음먹/VV;고/EC,1,0,1,0,0,Low,1
마저/JX;나돌/VV,1,0,0,1,0,Medium,1
마주치/VV;ㄴ/ETM,1,0,1,0,0,Low,1
마지막/NNG;기회/NNG,1,0,0,1,0,Medium,1
마찬가지/NNG;이/VCP,2,0,0,1,0,Medium,1
막/NNG;을/JKO,1,0,0,1,0,Medium,1
막/VV;는/ETM,1,0,0,1,0,Medium,1
막/VV;아/EC,1,0,0,1,0,Medium,1
막/VV;을/ETM,1,0,0,1,0,Medium,1
막대/XR;하/XSA,1,0,0,1,0,Medium,1
막막/XR;하/XSA,1,0,0,1,0,Medium,1
막중/XR;하/XSA,2,0,0,1,0,Medium,1
막히/VV;ㄴ/ETM,1,0,0,1,0,Medium,1
만/JX;가지/VV,1,0,0,0,1,None,1
만/JX;같/VA,1,1,0,0,0,High,1
만/JX;나오/VV,1,0,0,1,0,Medium,1
만/JX;남/VV,1,1,0,0,0,High,1
만/JX;도/JX,1,0,0,1,0,Medium,1
만/JX;먹/VV,1,0,0,1,0,Medium,1
만/JX;벗어나/VV,1,0,0,1,0,Medium,1
만/JX;보/VV,2,0.5,0,0.5,0,High,0.5
만/JX;보이/VV,1,0,0,1,0,Medium,1
만/JX;빠지/VV,1,0,0,1,0,Medium,1
만/JX;아니/VCN,3,0,0,0,1,None,1
만/JX;으로/JKB,1,1,0,0,0,High,1
만/JX;은/JX,2,0,0,0.5,0.5,Medium,0.5
만/JX;을/JKO,2,0,0,1,0,Medium,1
만/JX;이/JKC,1,0,0,0,1,None,1
만/JX;이/JKS,1,0,0,1,0,Medium,1
만/JX;이/VCP,1,0,0,1,0,Medium,1
만/JX;일삼/VV,1,0,1,0,0,Low,1
만/JX;전념/NNG,1,0,0,1,0,Medium,1
만/JX;참/VV,1,0,0,1,0,Medium,1
만/JX;하/VV,2,0,0.5,0,0.5,Low,0.5
만/JX;하/VX,2,0,0,0,1,None,1
만/JX;환불/NNG,1,0,0,1,0,Medium,1
만/JX;활성/NNG,1,0,0,1,0,Medium,1
만/NNB;하/XSA,12,0.083333333,0,0.5,0.416666667,Medium,0.5
만/NR;여/XSN,1,0,0,1,0,Medium,1
만/NR;원/NNG,2,0.5,0.5,0,0,High,0.5
만나/VV;ㄹ/ETM,1,0,0,1,0,Medium,1
만능/NNG;조리기/NNG,1,0,0,1,0,Medium,1
만들/VV;는/ETM,1,0,0,1,0,Medium,1
만들/VV;시/EP,1,0,0,1,0,Medium,1
만들/VV;어/EC,1,0,0,1,0,Medium,1
만들/VV;어야/EC,2,0,0.5,0.5,0,Low,0.5
만들/VV;었/EP,1,0,0,1,0,Medium,1
만물/NNG;이/JKS,1,0,0,1,0,Medium,1
만족/NNG;하/XSA,1,0,0,1,0,Medium,1
만지/VV;어/EC,1,0,0,1,0,Medium,1
만큼/JX;위대/XR,1,0,0,1,0,Medium,1
만큼/NNB;낙천/NNG,1,0,0,1,0,Medium,1
만큼/NNB;도/JX,1,0,1,0,0,Low,1
만큼/NNB;인상/NNG,1,1,0,0,0,High,1
만화/NNG;계/XSN,2,0,0,1,0,Medium,1
만화/NNG;공화국/NNG,2,0,1,0,0,Low,1
만화/NNG;에/JKB,1,0,0,1,0,Medium,1
만화/NNG;판/NNG,2,0,0,1,0,Medium,1
많/VA;고/EC,1,0,0,1,0,Medium,1
많/VA;다/EF,1,1,0,0,0,High,1
많/VA;아/EC,2,0.5,0,0.5,0,High,0.5
많/VA;아요/EF,1,0,0,1,0,Medium,1
많/VA;은/ETM,5,0.2,0.2,0.6,0,Medium,0.6
많/VA;지/EC,1,0,0,1,0,Medium,1
많이/MAG;관여/NNG,1,0,1,0,0,Low,1
많이/MAG;나오/VV,1,0,1,0,0,Low,1
많이/MAG;마렵/VA,1,0,0,1,0,Medium,1
많이/MAG;몰리/VV,1,0,0,1,0,Medium,1
많이/MAG;발생/NNG,1,0,1,0,0,Low,1
많이/MAG;붙/VV,1,0,0,1,0,Medium,1
많이/MAG;생기/VV,1,0,0,1,0,Medium,1
많이/MAG;하/VV,2,0,1,0,0,Low,1
말/NNG;도/JX,1,0,0,1,0,Medium,1
말/NNG;로/JKB,2,0,0.5,0.5,0,Low,0.5
말/NNG;은/JX,1,0,0,1,0,Medium,1
말/NNG;이/JKS,2,0.5,0,0.5,0,High,0.5
말/NNG;이/VCP,5,0.2,0.2,0.6,0,Medium,0.6
말/NNG;하/XSV,37,0.054054054,0.189189189,0.621621622,0.135135135,Medium,0.621621622
말/VV;고/EC,1,0,0,1,0,Medium,1
말/VX;ㄹ/ETM,1,0,0,0,1,None,1
말/VX;아야/EC,1,0,0,1,0,Medium,1
말리/VV;ㄴ/ETM,1,0,0,1,0,Medium,1
말문/NNG;을/JKO,1,0,0,1,0,Medium,1
말씀/NNG;을/JKO,1,0,0,1,0,Medium,1
말씀/NNG;의/JKG,1,0,0,1,0,Medium,1
맛/NNG;있/VV,1,0,0,1,0,Medium,1
맛보/VV;ㄹ/ETM,1,1,0,0,0,High,1
맛있/VA;는/ETM,1,0,0,1,0,Medium,1
망동/NNG;을/JKO,1,1,0,0,0,High,1
망설이/VV;고/EC,1,1,0,0,0,High,1
맞/VV;게/EC,1,1,0,0,0,High,1
맞/VV;아/EC,2,0.5,0,0.5,0,High,0.5
맞/VV;지/EC,1,0,0,1,0,Medium,1
맞서/VV;자/EC,1,0,0,1,0,Medium,1
맞추/VV;는/ETM,1,0,0,1,0,Medium,1
매끄럽/VA;게/EC,1,0,0,1,0,Medium,1
매끈/XR;하/XSA,1,0,0,1,0,Medium,1
매달리/VV;어/EC,1,0,0,1,0,Medium,1
매우/MAG;적/VA,1,1,0,0,0,High,1
매우/MAG;중요/NNG,1,1,0,0,0,High,1
매우/MAG;착실/XR,1,1,0,0,0,High,1
매일/NNG;같이/JKB,1,0,1,0,0,Low,1
매혹/NNG;시키/XSV,1,1,0,0,0,High,1
맥/NNG;이/JKS,1,0,0,1,0,Medium,1
맹종/NNG;하/XSV,1,1,0,0,0,High,1
맺/VV;었/EP,1,0,0,1,0,Medium,1
머리/NNG;가/JKS,1,0,0,1,0,Medium,1
머리/NNG;도/JX,1,0,1,0,0,Low,1
머리/NNG;를/JKO,1,0,1,0,0,Low,1
머리/NNG;에/JKB,1,0,1,0,0,Low,1
머리/NNG;짧/VA,1,0,1,0,0,Low,1
머뭇거리/VV;게/EC,1,0,0,1,0,Medium,1
먹/VV;고/EC,3,0.333333333,0,0.666666667,0,Medium,0.666666667
먹/VV;는/ETM,1,0,1,0,0,Low,1
먹/VV;는다/EC,1,0,0,1,0,Medium,1
먹/VV;으려고/EC,1,0,0,1,0,Medium,1
먹/VV;을/ETM,2,0,0.5,0.5,0,Low,0.5
먹/VV;자니/EC,1,0,0,1,0,Medium,1
먼저/MAG;꼽/VV,1,0,0,1,0,Medium,1
먼저/MAG;밤낮/NNG,1,0,0,1,0,Medium,1
먼저/MAG;배달/NNG,1,0,0,1,0,Medium,1
먼저/MAG;필요/NNG,1,1,0,0,0,High,1
멀/VA;게/EC,1,0,1,0,0,Low,1
멀/VA;어/EC,1,0,0,1,0,Medium,1
메시지/NNG;를/JKO,1,0,0,1,0,Medium,1
며/EC;거울/NNG,1,0,0,1,0,Medium,1
며/EC;뛰어다니/VV,1,1,0,0,0,High,1
며/EC;반짝이/VV,1,0,0,1,0,Medium,1
며/EC;살아오/VV,1,0,0,1,0,Medium,1
며/EC;심화/NNG,1,0,0,1,0,Medium,1
며/EC;쓰러지/VV,1,1,0,0,0,High,1
며/EC;주전자/NNG,1,0,0,1,0,Medium,1
며/EC;지나치/VA,1,0,0,1,0,Medium,1
며/EC;하/VX,1,0,0,1,0,Medium,1
며/EC;희생자/NNG,1,0,0,1,0,Medium,1
면/EC;가장/MAG,1,0,0,1,0,Medium,1
면/EC;고개/NNG,1,0,0,1,0,Medium,1
면/EC;되/VV,3,0,0.666666667,0.333333333,0,Low,0.666666667
면/EC;마음껏/MAG,1,0,0,1,0,Medium,1
면/EC;모든/MM,1,1,0,0,0,High,1
면/EC;사정/NNG,1,0,0,1,0,Medium,1
면/EC;실패자/NNG,1,0,1,0,0,Low,1
면/EC;어둠/NNG,1,0,0,1,0,Medium,1
면/EC;어쩌/VV,1,0,0,1,0,Medium,1
면/EC;엄마/NNG,1,0,0,1,0,Medium,1
면/EC;여유/NNG,1,0,0,1,0,Medium,1
면/EC;작/VA,1,0,0,1,0,Medium,1
면/EC;저절로/MAG,1,0,0,1,0,Medium,1
면/EC;절대/MAG,1,1,0,0,0,High,1
면/EC;절로/MAG,1,0,0,1,0,Medium,1
면/EC;한/NNG,1,0,0,1,0,Medium,1
면/NNG;이/JKS,1,0,1,0,0,Low,1
면모/NNG;는/JX,1,0,1,0,0,Low,1
면서/EC;도/JX,1,1,0,0,0,High,1
면서/EC;만화/NNG,1,0,0,1,0,Medium,1
면서/EC;비행기/NNG,1,0,1,0,0,Low,1
면적/NNG;을/JKO,1,0,1,0,0,Low,1
면허/NNG;를/JKO,1,0,1,0,0,Low,1
명/NNB;미만/NNG,1,0,0,1,0,Medium,1
명/NNB;에/JKB,2,0.5,0,0.5,0,High,0.5
명/NNB;이/JKS,1,0,1,0,0,Low,1
명백/XR;하/XSA,1,0,0,1,0,Medium,1
명백히/MAG;잘못/MAG,1,1,0,0,0,High,1
명분/NNG;삼/VV,1,0,0,1,0,Medium,1
명성/NNG;을/JKO,1,0,0,1,0,Medium,1
명시/NNG;하/XSV,1,0,0,1,0,Medium,1
명실공히/MAG;국민/NNG,1,1,0,0,0,High,1
명예/NNG;를/JKO,1,0,0,1,0,Medium,1
명징/XR;하/XSA,2,0,0.5,0.5,0,Low,0.5
몇/MM;천만/NR,1,0,0,1,0,Medium,1
모두*/NNG;그러*/VV,1,0,0,1,0,Medium,1
모두/MAG;발/NNG,1,0,0,1,0,Medium,1
모두/MAG;어우러지/VV,1,0,0,1,0,Medium,1
모두/MAG;쵸티/NNP,1,0,0,1,0,Medium,1
모두/NNG;남쪽/NNG,1,0,1,0,0,Low,1
모든/MM;것/NNB,1,1,0,0,0,High,1
모든/MM;달력/NNG,1,0,0,1,0,Medium,1
모든/MM;아버지/NNG,1,0,0,1,0,Medium,1
모든/MM;아이/NNG,2,0,0,1,0,Medium,1
모르/VV;게/EC,1,0,1,0,0,Low,1
모르/VV;겠/EP,1,0,0,0,1,None,1
모르/VV;ㄴ다는/ETM,1,0,0,1,0,Medium,1
모르/VV;니까/EF,1,0,0,0,1,None,1
모방/NNG;하/XSV,1,0,1,0,0,Low,1
모습/NNG;으로/JKB,1,0,0,1,0,Medium,1
모습/NNG;을/JKO,1,0,0,1,0,Medium,1
모습/NNG;한/MM,1,0,0,1,0,Medium,1
모으/VV;ㄴ/ETM,1,0,0,1,0,Medium,1
모으/VV;아/EC,2,0.5,0,0.5,0,High,0.5
모으/VV;았/EP,1,0,0,1,0,Medium,1
모이/VV;ㄴ/ETM,1,0,1,0,0,Low,1
모이/VV;어/EC,1,0,0,1,0,Medium,1
모자라/VV;아/EC,1,0,0,1,0,Medium,1
모집/NNG;인원/NNG,1,1,0,0,0,High,1
모호/XR;하/XSA,2,0,0,1,0,Medium,1
목/NNG;을/JKO,1,0,0,1,0,Medium,1
목소리/NNG;가/JKS,2,0.5,0.5,0,0,High,0.5
목소리/NNG;높이/VV,1,0,0,1,0,Medium,1
목소리/NNG;도/JX,1,1,0,0,0,High,1
목소리/NNG;를/JKO,1,0,0,1,0,Medium,1
목숨/NNG;을/JKO,2,0.5,0,0.5,0,High,0.5
목적/NNG;으로/JKB,1,0,0,1,0,Medium,1
몰두/NNG;하/XSV,2,0.5,0,0.5,0,High,0.5
몰락/NNG;하/XSV,1,0,0,1,0,Medium,1
몰리/VV;는/ETM,1,0,0,1,0,Medium,1
몸/NNG;에/JKB,2,0,0.5,0.5,0,Low,0.5
몸/NNG;으로/JKB,2,0,0,1,0,Medium,1
몸/NNG;을/JKO,1,0,0,1,0,Medium,1
몸/NNG;장난/NNG,1,0,0,1,0,Medium,1
몸살/NNG;을/JKO,1,0,0,1,0,Medium,1
몹시/MAG;쓰/VA,1,0,0,1,0,Medium,1
못*/MAG;하*/XSV,1,0,1,0,0,Low,1
못/MAG;갚/VV,1,1,0,0,0,High,1
못/MAG;그리/VV,1,0,0,1,0,Medium,1
못/MAG;내놓/VV,1,0,0,1,0,Medium,1
못/MAG;되/VV,1,0,0,1,0,Medium,1
못/MAG;미치/VV,1,1,0,0,0,High,1
못/MAG;잊/VV,1,1,0,0,0,High,1
못/MAG;잡/VV,1,0,0,1,0,Medium,1
못/MAG;하/VV,1,0,0,1,0,Medium,1
못내/MAG;안스럽/VA,1,0,1,0,0,Low,1
못내/MAG;안타까워하/VV,1,1,0,0,0,High,1
못마땅/XR;하/XSA,1,0,0,1,0,Medium,1
못하/VV;겠/EP,1,0,0,1,0,Medium,1
못하/VX;겠/EP,1,0,0,1,0,Medium,1
못하/VX;고/EC,2,0.5,0,0.5,0,High,0.5
못하/VX;ㄴ/ETM,3,0,0,1,0,Medium,1
못하/VX;ㄴ다/EF,1,0,1,0,0,Low,1
못하/VX;다고/EC,1,0,0,1,0,Medium,1
못하/VX;다는/ETM,1,0,0,1,0,Medium,1
못하/VX;도록/EC,1,0,0,1,0,Medium,1
못하/VX;ㄹ/ETM,1,1,0,0,0,High,1
못하/VX;았/EP,2,0.5,0.5,0,0,High,0.5
몽골/NNP;의/JKG,1,0,0,1,0,Medium,1
묘하/VA;게/EC,1,0,0,1,0,Medium,1
무/XPN;방비/NNG,1,0,0,1,0,Medium,1
무/XPN;의미/NNG,1,0,0,1,0,Medium,1
무/XPN;의식/NNG,1,0,0,1,0,Medium,1
무/XPN;조건/NNG,1,1,0,0,0,High,1
무/XPN;책임/NNG,3,0.666666667,0,0.333333333,0,High,0.666666667
무/XPN;혐의/NNG,1,0,0,1,0,Medium,1
무겁/VA;어/EC,1,1,0,0,0,High,1
무게/NNG;불리/VV,1,1,0,0,0,High,1
무관/XR;하/XSA,1,0,0,1,0,Medium,1
무극/NNG;같/VA,1,0,0,1,0,Medium,1
무늬/NNG;로/JKB,1,1,0,0,0,High,1
무단/NNG;가출/NNG,1,0,0,1,0,Medium,1
무대/NNG;를/JKO,2,0,0.5,0.5,0,Low,0.5
무대/NNG;활성/NNG,1,0,1,0,0,Low,1
무덤/NNG;에서/JKB,1,0,0,1,0,Medium,1
무례/NNG;하/XSV,1,0,0,1,0,Medium,1
무리/NNG;가/JKS,1,0,0,1,0,Medium,1
무리/NNG;이/VCP,1,0,0,1,0,Medium,1
무모/NNG;하/XSA,1,0,0,1,0,Medium,1
무산/NNG;시키/XSV,1,0,0,1,0,Medium,1
무섭/VA;ㄴ/ETM,1,0,0,1,0,Medium,1
무슨/MM;말/NNG,1,0,1,0,0,Low,1
무슨/MM;이야기/NNG,1,0,1,0,0,Low,1
무엇/NP;ㄹ/JKO,1,0,0,0,1,None,1
무엇/NP;보다/JKB,6,0.5,0,0,0.5,High,0.5
무엇/NP;을/JKO,2,0,0,1,0,Medium,1
무엇/NP;이/JKS,1,0,0,1,0,Medium,1
무엇/NP;이/VCP,1,0,0,1,0,Medium,1
무용/NNG;행사/NNG,1,0,0,1,0,Medium,1
무척/MAG;냉소/NNG,1,0,0,1,0,Medium,1
무척/MAG;어렵/VA,1,1,0,0,0,High,1
무효/NNG;결정/NNG,1,0,0,1,0,Medium,1
묵*/VV;은/ETM,1,0,1,0,0,Low,1
문/NNG;들/XSN,1,0,0,1,0,Medium,1
문/NNG;이/JKS,1,0,1,0,0,Low,1
문제/NNG;가/JKC,1,0,1,0,0,Low,1
문제/NNG;가/JKS,2,0.5,0,0.5,0,High,0.5
문제/NNG;도/JX,1,0,0,1,0,Medium,1
문제/NNG;들/XSN,1,0,0,1,0,Medium,1
문제/NNG;로/JKB,1,0,0,1,0,Medium,1
문제/NNG;를/JKO,1,0,0,1,0,Medium,1
문제/NNG;만/JX,1,0,0,1,0,Medium,1
문제/NNG;시/XSN,1,0,0,0,1,None,1
문제/NNG;이/VCP,1,0,0,1,0,Medium,1
문제/NNG;투성이/XSN,1,1,0,0,0,High,1
문제의식/NNG;이/JKS,1,0,0,1,0,Medium,1
문제의식/NNG;조차/JX,1,1,0,0,0,High,1
문제점/NNG;을/JKO,2,0,0,1,0,Medium,1
문지르/VV;며/EC,1,0,0,1,0,Medium,1
문턱/NNG;을/JKO,1,0,0,1,0,Medium,1
문화/NNG;의/JKG,3,0,0.333333333,0.666666667,0,Medium,0.666666667
문화/NNG;적/XSN,1,0,0,1,0,Medium,1
문화/NNG;진보/NNG,1,0,0,1,0,Medium,1
문화/NNG;판/NNG,1,0,0,1,0,Medium,1
문화재/NNG;사랑/NNG,1,0,0,1,0,Medium,1
묻/VV;고/EC,1,0,0,1,0,Medium,1
묻히/VV;버리/VX,1,0,0,1,0,Medium,1
물/NNG;로/JKB,1,0,0,1,0,Medium,1
물/NNG;속/NNG,2,0,0,1,0,Medium,1
물/NNG;에/JKB,1,0,1,0,0,Low,1
물/NNG;한/MM,1,1,0,0,0,High,1
물건/NNG;은/JX,1,0,0,1,0,Medium,1
물건/NNG;을/JKO,1,0,0,1,0,Medium,1
물건/NNG;이/JKS,1,0,1,0,0,Low,1
물론/MAG;안/NNG,1,0,1,0,0,Low,1
물론/NNG;이/VCP,2,0,0,0,1,None,1
물살/NNG;을/JKO,1,0,1,0,0,Low,1
물음표/NNG;없이/MAG,1,0,0,1,0,Medium,1
물질/NNG;이용법/NNG,1,0,1,0,0,Low,1
물체/NNG;가/JKS,1,0,0,1,0,Medium,1
뭇/MM;벌레/NNG,1,0,1,0,0,Low,1
뭐/NP;가/JKS,1,0,1,0,0,Low,1
뭐/NP;대단/XR,1,0,0,1,0,Medium,1
뭐/NP;이/VCP,1,0,1,0,0,Low,1
므로/EC;규정/NNG,1,0,0,1,0,Medium,1
미/NNG;법원/NNG,1,0,0,1,0,Medium,1
미국/NNP;도/JX,1,0,0,1,0,Medium,1
미국/NNP;보다/JKB,1,0,0,1,0,Medium,1
미국/NNP;에서/JKB,1,0,1,0,0,Low,1
미국/NNP;은/JX,1,0,0,1,0,Medium,1
미국인/NNG;에/JKB,1,0,0,1,0,Medium,1
미군/NNG;성희롱/NNG,1,1,0,0,0,High,1
미끄럼/NNG;방지/NNG,1,0,0,1,0,Medium,1
미끼/NNG;가/JKS,1,0,0,1,0,Medium,1
미디어/NNG;에서/JKB,1,0,0,1,0,Medium,1
미래/NNG;는/JX,1,0,0,1,0,Medium,1
미래/NNG;의/JKG,1,0,0,1,0,Medium,1
미만/NNG;의/JKG,1,0,0,1,0,Medium,1
미숙/XR;하/XSA,1,0,0,1,0,Medium,1
미술/NNG;상/NNP,1,0,0,1,0,Medium,1
미술인/NNG;들/XSN,1,0,0,1,0,Medium,1
미워하/VV;ㄹ/ETM,1,0,1,0,0,Low,1
미제/NNG;놈/NNB,1,0,0,1,0,Medium,1
미지수/NNG;로/JKB,1,0,0,1,0,Medium,1
미치/VV;고/EC,1,0,0,1,0,Medium,1
미치/VV;ㄴ/ETM,1,0,0,1,0,Medium,1
미치/VV;었/EP,1,0,0,1,0,Medium,1
미학/NNG;이/VCP,1,0,0,1,0,Medium,1
미형/NNG;캐릭터/NNG,1,1,0,0,0,High,1
미화원/NNG;이/JKC,1,0,0,1,0,Medium,1
민/NNG;권/XSN,1,0,0,1,0,Medium,1
민법/NNG;과/JKB,1,0,0,1,0,Medium,1
민속품/NNG;을/JKO,1,0,0,1,0,Medium,1
민족/NNG;의/JKG,2,0,0,1,0,Medium,1
민주/NNG;적/XSN,1,0,0,1,0,Medium,1
민주주의/NNG;시대/NNG,1,0,0,1,0,Medium,1
민중/NNG;적/XSN,1,0,0,1,0,Medium,1
민화/NNG;의/JKG,1,0,0,1,0,Medium,1
믿/VV;으시/EP,1,0,1,0,0,Low,1
믿/VV;을/ETM,1,0,0,1,0,Medium,1
믿/VV;지/EC,2,0.5,0,0.5,0,High,0.5
믿음직/XR;하/XSA,1,0,0,1,0,Medium,1
밀가루/NNG;반죽/NNG,1,0,0,1,0,Medium,1
밀고/NNG;하/XSV,1,0,0,1,0,Medium,1
밀리/VV;ㄴ/ETM,1,0,0,1,0,Medium,1
밀어내/VV;는/ETM,1,0,0,1,0,Medium,1
밑/NNG;에서/JKB,1,0,0,1,0,Medium,1
바/NNB;있/VV,1,0,0,0,1,None,1
